,item_count,bin_capacity,weight_range,instance,bin_count,execution_time
N2C2W2_J.txt,2,2,2,9,73,0.10199999996984843
N2C2W2_K.txt,2,2,2,10,66,0.1021999999579748
N2C2W2_L.txt,2,2,2,11,68,0.1189000000181295
N2C2W2_M.txt,2,2,2,12,67,0.11189999997895939
N2C2W2_N.txt,2,2,2,13,68,0.11400000005323818
N2C2W2_O.txt,2,2,2,14,66,0.10939999998527128
N2C2W2_P.txt,2,2,2,15,67,0.10890000004337708
N2C2W2_Q.txt,2,2,2,16,69,0.10470000000850632
N2C2W2_R.txt,2,2,2,17,68,0.10379999997667255
N2C2W2_S.txt,2,2,2,18,75,0.10630000002720408
N2C2W2_T.txt,2,2,2,19,71,0.1042000000097687
N2C2W4_A.txt,2,2,4,0,74,0.10620000000471919
N2C2W4_B.txt,2,2,4,1,76,0.1029000000016822
N2C2W4_C.txt,2,2,4,2,81,0.1299000000472006
N2C2W4_D.txt,2,2,4,3,76,0.10229999998045969
N2C2W4_E.txt,2,2,4,4,77,0.10709999997970954
N2C2W4_F.txt,2,2,4,5,75,0.1042000000097687
N2C2W4_G.txt,2,2,4,6,78,0.10489999999663269
N2C2W4_H.txt,2,2,4,7,77,0.1311000000328022
N2C2W4_I.txt,2,2,4,8,75,0.13069999999970605
N2C2W4_J.txt,2,2,4,9,77,0.10140000000546934
N2C2W4_K.txt,2,2,4,10,77,0.10480000003099121
N2C2W4_L.txt,2,2,4,11,76,0.10329999997793493
N2C2W4_M.txt,2,2,4,12,76,0.10779999996657352
N2C2W4_N.txt,2,2,4,13,78,0.10560000004034009
N2C2W4_O.txt,2,2,4,14,78,0.10459999998602143
N2C2W4_P.txt,2,2,4,15,76,0.10549999996101178
N2C2W4_Q.txt,2,2,4,16,78,0.10710000003655296
N2C2W4_R.txt,2,2,4,17,73,0.1042000000097687
N2C2W4_S.txt,2,2,4,18,74,0.10630000002720408
N2C2W4_T.txt,2,2,4,19,73,0.10639999999284555
N2C3W1_A.txt,2,3,1,0,51,0.09860000000116997
N2C3W1_B.txt,2,3,1,1,50,0.10130000003982786
N2C3W1_C.txt,2,3,1,2,48,0.1278999999954067
N2C3W1_D.txt,2,3,1,3,53,0.11769999997568448
N2C3W1_E.txt,2,3,1,4,48,0.12240000000929285
N2C3W1_F.txt,2,3,1,5,48,0.1017000000160806
N2C3W1_G.txt,2,3,1,6,45,0.09729999999308347
N2C3W1_H.txt,2,3,1,7,51,0.1138000000082684
N2C3W1_I.txt,2,3,1,8,47,0.09920000002239249
N2C3W1_J.txt,2,3,1,9,48,0.10050000003047899
N2C3W1_K.txt,2,3,1,10,52,0.10409999998728381
N2C3W1_L.txt,2,3,1,11,49,0.09940000001051885
N2C3W1_M.txt,2,3,1,12,41,0.13139999998657004
N2C3W1_N.txt,2,3,1,13,46,0.10059999999612046
N2C3W1_O.txt,2,3,1,14,48,0.09640000001809312
N2C3W1_P.txt,2,3,1,15,48,0.12279999998554558
N2C3W1_Q.txt,2,3,1,16,46,0.1247000000148546
N2C3W1_R.txt,2,3,1,17,47,0.09810000000243235
N2C3W1_S.txt,2,3,1,18,48,0.09549999998625935
N2C3W1_T.txt,2,3,1,19,49,0.10320000001229346
N2C3W2_A.txt,2,3,2,0,57,0.10100000002921661
N2C3W2_B.txt,2,3,2,1,61,0.10100000002921661
N2C3W2_C.txt,2,3,2,2,57,0.1004000000079941
N2C3W2_D.txt,2,3,2,3,55,0.10109999999485808
N2C3W2_E.txt,2,3,2,4,53,0.09959999999864522
N2C3W2_F.txt,2,3,2,5,50,0.1017000000160806
N2C3W2_G.txt,2,3,2,6,57,0.10179999998172207
N2C3W2_H.txt,2,3,2,7,51,0.09870000002365487
N2C3W2_I.txt,2,3,2,8,63,0.1046999999516629
N2C3W2_J.txt,2,3,2,9,63,0.10220000001481822
N2C3W2_K.txt,2,3,2,10,59,0.10180000003856549
N2C3W2_L.txt,2,3,2,11,58,0.11999999998124622
N2C3W2_M.txt,2,3,2,12,62,0.10330000003477835
N2C3W2_N.txt,2,3,2,13,60,0.10119999996049955
N2C3W2_O.txt,2,3,2,14,64,0.10439999999789507
N2C3W2_P.txt,2,3,2,15,56,0.10140000000546934
N2C3W2_Q.txt,2,3,2,16,55,0.10100000002921661
N2C3W2_R.txt,2,3,2,17,57,0.10080000004109024
N2C3W2_S.txt,2,3,2,18,63,0.0989999999774227
N2C3W2_T.txt,2,3,2,19,61,0.11690000002317902
N2C3W4_A.txt,2,3,4,0,61,0.10220000001481822
N2C3W4_B.txt,2,3,4,1,64,0.10180000003856549
N2C3W4_C.txt,2,3,4,2,58,0.09969999996428669
N2C3W4_D.txt,2,3,4,3,60,0.10780000002341694
N2C3W4_E.txt,2,3,4,4,68,0.11150000000270666
N2C3W4_F.txt,2,3,4,5,63,0.1098999999840089
N2C3W4_G.txt,2,3,4,6,61,0.11019999999462016
N2C3W4_H.txt,2,3,4,7,58,0.10730000002467932
N2C3W4_I.txt,2,3,4,8,63,0.11169999999083302
N2C3W4_J.txt,2,3,4,9,57,0.11069999999335778
N2C3W4_K.txt,2,3,4,10,67,0.11100000000396903
N2C3W4_L.txt,2,3,4,11,63,0.11110000002645393
N2C3W4_M.txt,2,3,4,12,63,0.11079999995899925
N2C3W4_N.txt,2,3,4,13,66,0.1085999999759224
N2C3W4_O.txt,2,3,4,14,62,0.11499999999387
N2C3W4_P.txt,2,3,4,15,64,0.11000000000649379
N2C3W4_Q.txt,2,3,4,16,66,0.1029000000016822
